Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LVA,water_withdrawal,,,,,,8.61,9.74,11.02,12.46,14.1,16,16.68,20.76,21.07,17.3,21.89,22.19,23.19,21.47,19.86,18.37,16.98,15.68,14.65,22,27.82,31.26,31.16,29.93,29.75,30.53
MAR,water_withdrawal,89.16,90.74,92.17,91.33,89.21,87.78,89.14,88.65,88.19,87.75,87.31,80.44,74.58,75.79,77.09,78.5,80.03,81.71,83.54,85.55,87.78,87.78,87.78,87.78,87.78,87.78,87.78,87.78,87.78,87.78,87.78
MCO,water_withdrawal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,water_withdrawal,,,39.48,36.1,32.28,27.96,23,21.59,20.11,18.57,16.95,15.5,13.93,12.22,10.35,8.3,6.05,3.56,3.75,3.95,4.16,4.28,4.4,4.42,5.02,5.24,5.1,5,5.14,5.24,6.88
MDG,water_withdrawal,98.42,98.31,98.21,98.09,97.98,97.86,97.75,97.62,97.5,97.37,97.24,97.11,96.98,96.85,96.73,96.6,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89,95.89
MDV,water_withdrawal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.27,0.41,0.55,0.68,0.82,0.96,1.09,1.23,1.37,1.5,3.02
MEX,water_withdrawal,,,,,,95.94,93.61,91.32,89.08,86.87,84.7,76.45,77.27,76.17,76.16,76.73,76.84,76.72,76.69,76.67,76.68,76.69,76.57,75.72,76.72,76.3,76.29,76.05,75.72,75.71,75.74
MKD,water_withdrawal,,,,,,,68.55,66.85,64.49,61,55.35,48.14,44.44,42.37,25.42,22.06,21.52,22.77,40.34,47.57,48.5,44.35,79.3,31.53,39.4,31.3,18.95,46.15,14.19,23.4,61.68
MLI,water_withdrawal,97.6,97.72,97.81,97.89,97.95,98,98.05,98.08,98.11,98.14,98.16,98.18,98.11,98.05,97.99,97.92,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86
MLT,water_withdrawal,,,,,,12.5,16.34,20.16,23.94,27.7,31.44,35.17,35.04,32.1,33.46,34.17,37.3,43.2,44.18,42.49,48.57,54.54,60.4,64.02,44.29,41.1,40.61,42.42,39.75,36.51,37.95
